; name      at.num  mass     charge ptype  sigma      epsilon
Br          35      79.90    0.0000  A   0.00000e+00  0.00000e+00
C            6      12.01    0.0000  A   3.39967e-01  3.59824e-01
F            9      19.00    0.0000  A   3.11815e-01  2.55224e-01
I           53     126.9     0.0000  A   4.18722e-01  1.67360e+00
Cl          17      35.45    0.0000  A   4.40104e-01  4.18400e-01
IB           0     131.0     0.0000  A   8.90899e-01  4.18400e-01
N            7      14.01    0.0000  A   3.25000e-01  7.11280e-01
O            8      16.00    0.0000  A   2.95992e-01  8.78640e-01
P           15      30.97    0.0000  A   3.74177e-01  8.36800e-01
S           16      32.06    0.0000  A   3.56359e-01  1.04600e+00
DU          6      12.01     0.0000  A  3.39967e-01   3.59824e-01
